Rèf 10max;Libelle Univers;Monde;Libelle;Descriptif
010101;Dessins Animes;Dragon Ball Z;Buu;"Une création maléfique
Majin Buu (ou Boo) est l'un des principaux ennemis de Goku dans Dragon Ball Z, les fameux mangas et dessins animés japonais. Main Buu est une création de Bidibi. Il n'a aucune notion du bien ou du mal et manque de tuer son créateur plusieurs fois par simple amusement. Comme nombre des ennemis de Goku, il finira par devenir bon grâce à Satan, son chien récemment adopté qui perd la vie et lui apprend ainsi l'importance de la vie.

Un méchant tout rose
Majin Buu est ici représenté sous son aspect le plus sympathique avec ce corps rose et tout rond. On retrouve donc bien ce pantalon blanc large ainsi que cette cape violette. Avec cela, il porte une courte veste sans manche assortie à sa ceinture noire et jaune où l'initiale de son nom est gravée. Au niveau de la tête, on retrouve cette forme de tête étrange qui le fait ressembler à un génie. Ses grands yeux sont noirs et Funko lui, pour une fois, donné une grande bouche souriante."
010102;Dessins Animes;Dragon Ball Z;Goku;"Le jeune héros
Goku est le personnage principal des mangas et dessins animés Dragon Ball Z. Dans la première série Dragon Ball, c'était un jeune garçon particulièrement doué pour les arts martiaux qui combattait de nombreux vilains de toutes sortes. Dans Dragon Ball Z, il est adulte et marié et il va découvrir qu'il vient en fait d'une autre planète de guerriers redoutables. Ses combats et ses ennemis vont alors prendre une autre ampleur.

Un jeune Goku sur son nuage
Goku est ici représenté enfant sur le nuage magique qui lui sert de moyen de transport et qui lui a été offert par Master Roshi après qu'il ait sauvé Turtle. On le retrouve donc avec sa combinaison d'entrainement bleue et ses sandales. Au niveau de la tête, son visage est basique mais on retrouve bien cette fameuse coupe de cheveux en pics si caractéristique du personnage. Enfin, il est bien sûr représenté sur son fameux nuage jaune se terminant par cette drôle de petite pointe."
010103;Dessins Animes;Dragon Ball Z;Vegeta;"L'anti-héros populaire
Vegeta est un personnage incontournable de la saga DragonBall. Aux origines de l'histoire, il est le prince de la planète Vegeta et le fils du roi Vegeta. Son caractère très orgueilleux et radical le pousse à faire de Son Goku son rival, dès leur enfance. Il sait par ailleurs faire preuve d'une intelligence redoutable dès lors qu'il s'agit de mener la quête des Dragon Balls sur la planète Namek. Mais face aux menaces les plus extrêmes, il va apprendre à mettre sa fierté de côté : au cours de l'histoire, Vegeta va essuyer de nombreuses défaites, notamment face à Cell et Boo, mais également plusieurs fois contre Freezer. L'issue lui sera même fatale une fois, avant d'être finalement ressuscité. Au cours de la saga ""Résurrection de Freezer"", Vegeta est une énième fois confronté à Freezer, alors que ce dernier envisage d'attaquer la Terre. C'est au cours de cet ultime combat que Vegeta (ainsi que Goku) se transforme et accède à un nouveau stade divin : celui de Super Saiyan God combiné à celui de Super Saiyan classique, lui permettant de rivaliser contre Freezer et sa transformation ""Golden"".

Vegeta en Super Saiyajin Divin
À force de s'entraîner avec Whis, maître et serviteur de Beerus (dieu de la destruction), et de frôler la mort dans de nombreux combats, Vegeta atteint un nouveau stade divin. En accédant à ce stade de Super Saiyan God Super Saiyan (appelé également ""Super Saiyan Blue""), Vegeta acquiert une aura bleutée et des cheveux devenus couleur cyan, parfaitement représentés sur cette figurine. On retrouve ses yeux froncés, caractéristiques du personnage, et devenus bleus depuis la transformation. Sa longue chevelure hérissée, habituellement noire, est ici de couleur bleu pour les mêmes raisons. On aperçoit également un symbole sur l'uniforme, près du cœur : il s'agit de la signature de Whis, dessinée par ce dernier au cours d'un entraînement pour démontrer à Son Goku et Vegeta qu'ils sont encore trop lents. On remarque enfin que sa tenue n'est pas la même que sur la figurine précédente de Vegeta : il sera en effet amené à en changer après l'avoir endommagée au vaisseau de Freezer durant la saga Namek. Il passe ainsi d'une tenue principalement bleue, à une tenue principalement noire avec des armures blanches et des renforts jaunes, qu'on retrouve sur la figurine conçue par Funko."
010201;Dessins Animes;Marvel;Deadpool;"Un mercenaire pas comme les autres
Deadpool est le héros des comics Marvel du même nom. D’abord apparu en tant qu’ennemi puis allié de Wolverine dans les comics X-Men, le plus célèbre des mercenaires a finalement eu le droit à sa propre série. Ancien mercenaire de la CIA, Deadpool souffrait d’un cancer incurable quand il a accepté de participer à des expériences scientifiques qui pourraient lui permettre de guérir. L’expérience a en partie réussi, le guérissant de son cancer et le rendant même quasi immortel mais le défigurant aussi gravement après qu’il ait subi de nombreuses tortures. C’est alors qu’il devint le justicier Deadpool. Il est surtout célèbre pour sa morale douteuse, son humour noir et décalé ainsi que sa tendance à briser le fameux quatrième mur.

Deadpool à cheval
Dans les comics, on a pu se rendre compte que Deadpool adore se déguiser, portant toujours les costumes par-dessus sa propre tenue de Deadpool pour ajouter au ridicule de la situation. Sur cette figurine exclusive pour la SDCC 2016, Deadpool porte son habituelle combinaison rouge avec quelques touches de noir et ces harnais autour du torse et des jambes qui permettent de porter ces armes. Mais en plus de ça, il porte un chapeau de cowboy sur la tête et tient une tête de cheval en peluche sur un baton."
010202;Dessins Animes;Marvel;Spiderman;"Une nouvelle version de Spiderman
Spiderman est l'identité secrète de Peter Parker, un lycéen ayant obtenu des super pouvoirs suite à la morsure d'une araignée radioactive. Spiderman est l'un des héros Marvel les plus populaires et après en avoir perdu les droits au cinéma pendant des années, ils ont en enfin récupéré les droits. Après une première apparition remarquée dans Captain America Civil War, Spiderman fait son retour dans le premier film produit par Marvel qui lui est intégralement consacré. Dans ce film, après avoir participé au combat aux côtés d'Iron Man, Tony Stark est devenu le mentor de Peter Parker. Mais celui-ci a envie de mener ses propres combats et c'est alors que débarque à New-York le mystérieux Vulture.

Un costume mythique
Alors que la plupart des héros Marvel ont vu leur costume remis au goût du jour avec des couleurs moins vives, celui de Spiderman reste assez proche de son design de base. On retrouve bien cette alliance de bleu et de rouge tous les deux très vifs. Sur son torse, on retrouve son logo d'araignée et une cagoule cache intégralement son visage. Pour cette version du personnage, Spiderman peut projeter des toiles d'araignée grâce à un gadget qu'il a créé et que l'on peut voir à ses poignets. Enfin, il est représenté dans une posture dynamique comme s'il était justement sur le point d'utiliser ses gadgets."
010203;Dessins Animes;Marvel;Tony Stark;"Le mentor
Tony Stark est un personnage important de Spiderman Homecoming, la nouvelle version de l'histoire du fameux homme araignée, cette fois réalisée par les studios Marvel qui ont récupéré les droits du personnage. Dans le film Captain America Civil War, Tony Stark a besoin d'aide afin de stopper la mission de Captain America et il va donc recruter un jeune lycéen New-Yorkais se servant de ses pouvoirs acquis par la morsure d'une araignée radioactive pour aider les gens. Après cette mission réussie, Peter retourne chez lui mais il est surveillé de près par Tony Stark qui devient un peu son mentor, le jeune homme n'était pas juste un super-héros mais aussi un passionné de science. Lorsqu'un nouveau personnage aux mauvaises intentions fait son apparition à New York, Peter Parker va pouvoir apprendre ce que c'est vraiment que d'être un super-héros.

Un look toujours aussi cool
Malgré son statut de milliardaire, Tony Stark a très souvent un look plutôt décalé. Ici, il porte un simple pantalon noir avec des baskets assorties. En haut, il porte une veste de costume grise par dessus un t-shirt blanc avec un motif de chat qui ressemble très fortement à la figurine pop de chat calico Funko. Au niveau de la tête, on retrouve bien sûr son bouc et sa coupe de cheveux caractéristique ains que des lunettes de soleil un peu rétro au large cadre et aux verres jaunes."
010301;Dessins Animes;South Park;Cartman;"Le pire personnage de la série
Cartman est l'un des personnages principaux du fameux dessin animé South Park. Comprenant à ce jour 20 saisons, ce dessin animé met en scène quatre petits garçons d'école primaire vivant dans la petite ville de South Park dans le Colorado. Bien que se concentrant sur la vie de quatre enfants (qui n'ont d'ailleurs pas grandi depuis leur création en 1997), ce dessin animé est pour un public averti. Il inclut parfois des notions de politique ou de surnaturel mais surtout il est basé sur un humour très souvent noir, grivois, absurde et pas du tout politiquement correct. Cartman est un petit garçon obèse qui restera toujours ami avec les autres malgré son affreux caractère. En effet, il est raciste, homophobe, antisémite, égoïste et n'hésite pas à utiliser cela contre ses propres amis.

Une version particulière de Cartman
Etonnamment, pour cette première série de figurines South Park, Funko a décidé de représenter les personnages pendant un personnage bien spécifique de la saison 14 de la série : L'éveil de Mysterion, se concentrant sur le super-héros sévissant à South Park depuis quelques temps. Cartman est ici représenté avec son habituel manteau rouge et ses gants jaunes. Au niveau de la tête, il porte son habituel bonnet bleu et jaune et exceptionnellement de grosses lunettes carrées. Il porte aussi une pancarte comme on peut en trouver chez l'ophtalmologiste mais où est écrit : I AM A LITTLE PIG, comme dans l'épisode."
010302;Dessins Animes;South Park;Kenny;"Le personnage qui ne meurt jamais
Kenny est l'un des personnages principaux de la fameuse série animée de Trey Parker et Matt Stone, South Park. Cette série au graphisme très simple raconte la vie de quatre jeunes écoliers dans la ville de South Park. Kenny a la particularité d'avoir toujours le visage en partie caché par son anorak, ce qui fait qu'on ne comprend jamais ce qu'il dit. C'est aussi le personnage qui meurt à chaque épisode pour que les autres personnages puissent dire ""oh mon dieu, ils ont tué Kenny"". Il revient en revanche toujours dans le suivant comme si de rien n'était.

Kenny le zombie
Cette figurine exclusive Hot Topic s'inspire d'un épisode bien particulier de la saison 1. Kenny est tué au début de l'épisode par la station mir qui s'écrase sur lui. A la morgue, l'employé fait tomber de la sauce Worcestershire dans son fluide d'embaumement et Kenny se réveille sous forme de zombie. C'est alors que commence ce que toute la ville prend pour une épidémie de conjonctivite. Comme d'habitude, on retrouve son fameux anorak orange ne laissant apparaitre qu'une partie de son visage. Celui-ci est troué par endroits, laissant apparaitre ses os. On peut aussi voir que Kenny a été recousu directement avec son anorak sur tout le milieu de son corps."
010303;Dessins Animes;South Park;Mysterion;"L'identité secrète de Kenny
Mysterion est l'identité secrète de Kenny dans le fameux dessin animé South Park. Ce dessin animé pour adultes se concentre sur la vie de quatre enfants de dix ans dans la petite ville américaine de South Park. Parmi eux il y a Kyle et Stan mais aussi Cartman, petit garçon obèse, raciste et misogyne à qui l'on doit probablement les pires répliques de la série. Mais il y a aussi Kenny dont la voix est toujours inaudible à cause de son anorak et qui meurt à la fin de chaque épisode pour revenir au début du suivant sans explication. Dans certaines épisodes, il se transforme en un super héros masqué du nom de Mysterion qui combat notamment le ""Coon"" un super vilain joué par Cartman.

Le pouvoir de Kenny
Comme dans la série, Kenny a un costume qui permet réellement de cacher son identité. Il est constitué d'une combinaison violette avec un M sur la poitrine ainsi que d'une cape et d'un col roulé assorti. Au niveau de la tête, un masque couvre tout le haut de son visage et une capuche violette couvre ses cheveux. enfin sur le dessus de sa tête, il porte un sigle en forme de point d'interrogation qui n'est pas sans rappeler le célèbre ""riddler"" de l'univers DC Comics."
010401;Films;Harry Potter;Ginny;"Une cadette prometteuse
Ginny Weasley est la plus jeune de la nombreuse famille Weasley dans la fameuse saga littéraire et cinématographique Harry Potter, l’histoire du petit orphelin anglais apprenant du jour au lendemain qu’il est un sorcier. Ginny a un an de moins que son frère Ron, le meilleur ami d’Harry Potter et elle n’apparaitra réellement dans l’histoire qu’à partir du deuxième film quand Lucius Malfoy glisse le journal enchanté de Tom Riddle alias Voldemort. Au fur et à mesure des années, la jeune Ginny se révèle être de plus en plus brillante, égalant presque Hermione. Un peu plus tard, Ginny rejoint même l’équipe de quidditch en tant que « chaser » et c’est en partie ce qui va la rapprocher d’Harry même si cet aspect est assez peu développé dans les films.

Une vraie Gryffindor
Pour cette figurine exclusive aux magasins Barnes & Noble, Funko a décidé de représenter Ginny avec sa tenue de quidditch et étant donné qu’on ne la voit pas la porter avant le sixième film, elle est très probablement tirée d’une scène de ""Harry Potter and The Half Blood Prince ». Elle porte donc la tenue complète de quidditch avec les chaussures marrons ansi que les jambières et protections de bras assorties. Ensuite, elle porte bien sûr cette robe de sorcier aux couleurs de Gryffindor plus courte et donc adaptée à la pratique du quidditch. Dans sa main droite, elle tient son balai dont les détails sont joliment représentés. Enfin au niveau de la tête, on reconnait ses longs cheveux roux typiques des Weasley."
